dataset,dataset_id,regime,facet,model,model_display,thinking_budget_tokens,budget_label,intervention,flip_rate,accuracy,n_items,n_trials
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,1024,1k,think_1k,0.41,0.57,100,600
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,2048,2k,think_2k,0.32,0.61,50,300
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,8192,8k,baseline_think8k,0.3,0.6,50,300
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,24576,24k,think_24k,0.28,0.6,50,300
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3-flash-preview,Gemini 3 Flash,1024,1k,think_1k,0.41,0.608333,100,600
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3-flash-preview,Gemini 3 Flash,2048,2k,think_2k,0.41,0.606667,100,600
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3-flash-preview,Gemini 3 Flash,8192,8k,baseline_think8k,0.26,0.643333,50,300
MedXpertQA,medxpertqa,hard,evidence_chunk_order,gemini-3-flash-preview,Gemini 3 Flash,24576,24k,think_24k,0.35,0.591667,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,1024,1k,think_1k,0.11,0.935,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,2048,2k,think_2k,0.1,0.936667,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,8192,8k,baseline_think8k,0.11,0.938333,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3.1-pro-preview,Gemini 3.1 Pro,24576,24k,think_24k,0.11,0.926667,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3-flash-preview,Gemini 3 Flash,1024,1k,think_1k,0.12,0.91,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3-flash-preview,Gemini 3 Flash,2048,2k,think_2k,0.1,0.911667,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3-flash-preview,Gemini 3 Flash,8192,8k,baseline_think8k,0.11,0.92,100,600
MMLU-Pro,mmlu_pro,easy,option_order,gemini-3-flash-preview,Gemini 3 Flash,24576,24k,think_24k,0.08,0.931667,100,600
