model,dataset,sem_flip
claude-opus-4-7,mmdocrag,0.32
claude-opus-4-7,mmqa,0.355
claude-opus-4-7,mramg,0.091
claude-sonnet-4-6,mmdocrag,0.279
claude-sonnet-4-6,mmqa,0.48
claude-sonnet-4-6,mramg,0.142
gemini-3-flash-preview,mmdocrag,0.275
gemini-3-flash-preview,mmqa,0.405
gemini-3-flash-preview,mramg,0.112
gemini-3.1-pro-preview,mmdocrag,0.235
gemini-3.1-pro-preview,mmqa,0.295
gemini-3.1-pro-preview,mramg,0.223
gpt-5-4-mini,mmdocrag,0.37
gpt-5-4-mini,mmqa,0.56
gpt-5-4-mini,mramg,0.157
gpt-5-5,mmdocrag,0.185
gpt-5-5,mmqa,0.395
gpt-5-5,mramg,0.142
internvl3-5-14b,mmdocrag,0.633
internvl3-5-14b,mmqa,0.667
internvl3-5-14b,mramg,0.533
internvl3-5-38b,mmdocrag,0.833
internvl3-5-38b,mmqa,0.6
internvl3-5-38b,mramg,0.367
internvl3-5-4b,mmdocrag,0.805
internvl3-5-4b,mmqa,0.55
internvl3-5-4b,mramg,0.604
internvl3-5-8b,mmdocrag,0.7
internvl3-5-8b,mmqa,0.58
internvl3-5-8b,mramg,0.42
kimi-vl-a3b-instruct,mmdocrag,0.695
kimi-vl-a3b-instruct,mmqa,0.625
kimi-vl-a3b-instruct,mramg,0.441
medgemma-27b-it,mmdocrag,0.767
medgemma-27b-it,mmqa,0.433
medgemma-27b-it,mramg,0.32
medgemma-4b-it,mmdocrag,0.84
medgemma-4b-it,mmqa,0.76
medgemma-4b-it,mramg,0.708
qwen3-5-0-8b,mmdocrag,0.885
qwen3-5-0-8b,mmqa,0.855
qwen3-5-0-8b,mramg,0.766
qwen3-5-27b,mmdocrag,0.433
qwen3-5-27b,mmqa,0.467
qwen3-5-27b,mramg,0.233
qwen3-5-2b,mmdocrag,0.79
qwen3-5-2b,mmqa,0.735
qwen3-5-2b,mramg,0.619
qwen3-5-4b,mmdocrag,0.69
qwen3-5-4b,mmqa,0.525
qwen3-5-4b,mramg,0.371
qwen3-5-9b,mmdocrag,0.62
qwen3-5-9b,mmqa,0.62
qwen3-5-9b,mramg,0.32
