model,dataset,k6_flip_rate,n_screened,n_raw_in_file,source
claude-opus-4-7,mantis_eval,0.05555555555555555,18,70,EMNLP_2026/MMIOS/results/experiments/api_full_claude-opus-4-7_2026-05-14_15-46-32_2026-05-14_15-46-33/inference/image_set_order__mantis_eval__claude-opus-4-7.jsonl
claude-opus-4-7,medframeqa,0.19487179487179487,195,200,EMNLP_2026/MMIOS/results/experiments/api_full_claude-opus-4-7_2026-05-14_15-46-32_2026-05-14_15-46-33/inference/image_set_order__medframeqa__claude-opus-4-7.jsonl
claude-sonnet-4-6,mantis_eval,0.2222222222222222,18,70,EMNLP_2026/MMIOS/results/experiments/api_full_claude-sonnet-4-6_2026-05-14_16-36-00_2026-05-14_16-36-00/inference/image_set_order__mantis_eval__claude-sonnet-4-6.jsonl
claude-sonnet-4-6,medframeqa,0.2,195,200,EMNLP_2026/MMIOS/results/experiments/api_full_claude-sonnet-4-6_2026-05-14_16-36-00_2026-05-14_16-36-00/inference/image_set_order__medframeqa__claude-sonnet-4-6.jsonl
gemini-3-flash-preview,mantis_eval,0.0,18,70,EMNLP_2026/MMIOS/results/experiments/facet_panel_flash_backfill_2026-05-12_17-01-58_2026-05-12_17-01-59/inference/image_set_order__mantis_eval__gemini-3-flash-preview.jsonl
gemini-3-flash-preview,medframeqa,0.28205128205128205,195,200,EMNLP_2026/MMIOS/results/experiments/facet_panel_flash_n200_2026-05-10_16-01-30/inference/image_set_order__medframeqa__gemini-3-flash-preview.jsonl
gemini-3.1-pro-preview,mantis_eval,0.0,18,70,EMNLP_2026/MMIOS/results/experiments/facet_panel_pro_backfill_2026-05-12_17-01-56_2026-05-12_17-01-57/inference/image_set_order__mantis_eval__gemini-3.1-pro-preview.jsonl
gemini-3.1-pro-preview,medframeqa,0.20512820512820512,195,200,EMNLP_2026/MMIOS/results/experiments/facet_panel_pro_n200_2026-05-10_16-01-25/inference/image_set_order__medframeqa__gemini-3.1-pro-preview.jsonl
gpt-5-4-mini,mantis_eval,0.2777777777777778,18,70,EMNLP_2026/MMIOS/results/experiments/api_full_gpt-5-4-mini_2026-05-14_16-36-06_2026-05-14_16-36-06/inference/image_set_order__mantis_eval__gpt-5-4-mini.jsonl
gpt-5-4-mini,medframeqa,0.3333333333333333,195,200,EMNLP_2026/MMIOS/results/experiments/api_full_gpt-5-4-mini_2026-05-14_16-36-06_2026-05-14_16-36-06/inference/image_set_order__medframeqa__gpt-5-4-mini.jsonl
gpt-5-5,mantis_eval,0.05555555555555555,18,70,EMNLP_2026/MMIOS/results/experiments/api_full_gpt-5-5_2026-05-14_16-36-03_2026-05-14_16-36-03/inference/image_set_order__mantis_eval__gpt-5-5.jsonl
gpt-5-5,medframeqa,0.2358974358974359,195,200,EMNLP_2026/MMIOS/results/experiments/api_full_gpt-5-5_2026-05-14_16-36-03_2026-05-14_16-36-03/inference/image_set_order__medframeqa__gpt-5-5.jsonl
internvl3-5-14b,mantis_eval,0.3888888888888889,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-14b_n200_2026-05-17_09-23-06/inference/image_set_order__mantis_eval__internvl3-5-14b.jsonl
